Category,Image,Link,Name,Price,Store
Smartfonlar,https://api.idea.uz/storage/products/October2024/BaYf6aVwIPbwRTtrfZQt.png,https://idea.uz/product/8825-smartfon-tecno-spark-30c-4-128-orbit-white,Tecno Spark 30c 4/128 Gb,1908000,Idea
Smartfonlar,https://api.idea.uz/storage/products/October2024/nvhYsgUl6l7JGCIy9u77.png,https://idea.uz/product/8824-smartfon-tecno-spark-30c-4-128-orbit-black,Tecno Spark 30c 4/128 Gb,1908000,Idea
Smartfonlar,https://api.idea.uz/storage/products/October2024/gGhigTZv9BEjPNYtm30b.png,https://idea.uz/product/8823-smartfon-tecno-spark-go-1-4-128-glittery-white,Tecno Spark Go 1 4/128 Gb,1548000,Idea
Smartfonlar,https://api.idea.uz/storage/products/October2024/Y9s9kHTXr6Uy4CfFPtwb.png,https://idea.uz/product/8822-smartfon-tecno-spark-go-1-4-128-startrail-black,Tecno Spark Go 1 4/128 Gb,1548000,Idea
Smartfonlar,https://api.idea.uz/storage/products/October2024/yjBSu1NMgcKu3eLk5ihH.png,https://idea.uz/product/8821-smartfon-tecno-spark-go-1-3-64-glittery-white,Tecno Spark Go 1 3/64 Gb,1188000,Idea
Smartfonlar,https://api.idea.uz/storage/products/October2024/GdfacWRGqhgdio5Zc5sC.png,https://idea.uz/product/8820-smartfon-tecno-spark-go-1-3-64-startrail-black,Tecno Spark Go 1 3/64 Gb,1188000,Idea
Smartfonlar,https://api.idea.uz/storage/products/October2024/6oGGCPYbELuERQGZLw05.png,https://idea.uz/product/8819-smartfon-samsung-galaxy-s24fe-8-128-black,Samsung Galaxy S24fe 8/128 Gb,7490000,Idea
Smartfonlar,https://api.idea.uz/storage/products/October2024/VBCtVYUG6I2zLo9wAWgR.png,https://idea.uz/product/8818-smartfon-samsung-galaxy-s24-8-256-onyx-black,Samsung Galaxy S24 8/256 Gb,9790000,Idea
Smartfonlar,https://api.idea.uz/storage/products/October2024/qNtDiFzgsLGeJaTDnrCz.png,https://idea.uz/product/8817-smartfon-samsung-galaxy-s24fe-8-128-gray,Samsung Galaxy S24fe 8/128 Gb,7490000,Idea
Smartfonlar,https://api.idea.uz/storage/products/October2024/hk5xymq7F10YQzG7u1K6.png,https://idea.uz/product/8807-smartfon-tecno-spark-20-pro-8-256-frosty-ivory,Tecno Spark 20 Pro 8/256 Gb,3948000,Idea
