Category,Image,Link,Name,Price,Store
Smartfonlar,https://elmakon.uz/images/thumbnails/540/540/detailed/25/Без_имени-19.jpg 2x,https://elmakon.uz/telefony-gadzhety-aksessuary/honor-x7-4-128gb-black-smartfon-honor/,Honor X7 4/128 Gb,2199000,Elmakon
Smartfonlar,https://elmakon.uz/images/thumbnails/540/540/detailed/10/1b.jpg 2x,https://elmakon.uz/telefony-gadzhety-aksessuary/honor-50-lite-6-128gb-blue-smartfon-honor/,Honor 50 Lite 6/128 Gb,2609000,Elmakon
Smartfonlar,https://elmakon.uz/images/thumbnails/540/540/detailed/30/Без_имени-2004.jpg 2x,https://elmakon.uz/telefony-gadzhety-aksessuary/redmi-10a-eu-3-64gb-gray-smartfon-xiaomi/,Xiaomi Redmi 10a 3/64 Gb,1439000,Elmakon
Smartfonlar,https://elmakon.uz/images/thumbnails/540/540/detailed/42/1_klqk-v1.png 2x,https://elmakon.uz/telefony-gadzhety-aksessuary/honor-x8b-8-256gb-black-smartfon-honor/,Honor X8b 8/256 Gb,3299000,Elmakon
Smartfonlar,https://elmakon.uz/images/thumbnails/540/540/detailed/38/368.jpg 2x,https://elmakon.uz/telefony-gadzhety-aksessuary/mi-13-lite-eu-8-256gb-black-smartfon-xiaomi/,Xiaomi Mi 13 Lite 8/256 Gb,4949000,Elmakon
Smartfonlar,https://elmakon.uz/images/thumbnails/540/540/detailed/37/312.png 2x,https://elmakon.uz/telefony-gadzhety-aksessuary/podarok-giftbox-huawei/,Huawei Gif Tb,188000,Elmakon
Smartfonlar,https://elmakon.uz/images/thumbnails/540/540/detailed/25/Без_имени-32.jpg 2x,https://elmakon.uz/telefony-gadzhety-aksessuary/honor-x9-6-128gb-silver-smartfon-honor/,Honor X9 6/128 Gb,2999000,Elmakon
Smartfonlar,https://elmakon.uz/images/thumbnails/540/540/detailed/18/Без_имени-33.jpg 2x,https://elmakon.uz/telefony-gadzhety-aksessuary/y33s-blue-smartfon-vivo/,Vivo Y33s 4/128 Gb,2399000,Elmakon
Smartfonlar,https://elmakon.uz/images/thumbnails/540/540/detailed/40/32_u14h-ea.png 2x,https://elmakon.uz/telefony-gadzhety-aksessuary/honor-90-8-256gb-midnight-black-smartfon-honor/,Honor 90 8/256 Gb,6099000,Elmakon
Smartfonlar,https://elmakon.uz/images/thumbnails/540/540/detailed/40/1_y61s-sb.png 2x,https://elmakon.uz/telefony-gadzhety-aksessuary/honor-x5-plus-4-64gb-black-smartfon-honor/,Honor X5 Plus 4/64 Gb,1399000,Elmakon
Smartfonlar,https://elmakon.uz/images/thumbnails/540/540/detailed/39/44_bbgd-t3.jpg 2x,https://elmakon.uz/telefony-gadzhety-aksessuary/a14-a145-64gb-silver-smartfon-samsung/,Samsung Galaxy A14 64 Gb,1799000,Elmakon
Smartfonlar,https://elmakon.uz/images/thumbnails/540/540/detailed/25/Без_имени-31.jpg 2x,https://elmakon.uz/telefony-gadzhety-aksessuary/honor-x9-6-128gb-blue-smartfon-honor/,Honor X9 6/128 Gb,2999000,Elmakon
Smartfonlar,https://elmakon.uz/images/thumbnails/540/540/detailed/43/1_9n5j-rt.png 2x,https://elmakon.uz/telefony-gadzhety-aksessuary/s24-ultra-s928-12-256gb-black-smartfon-samsung/,Samsung Galaxy S24 Ultra 256 Gb,12999000,Elmakon
Smartfonlar,https://elmakon.uz/images/thumbnails/540/540/detailed/42/24_anru-4a.png 2x,https://elmakon.uz/telefony-gadzhety-aksessuary/honor-x9b-5g-8-256gb-midnight-black-smartfon-honor/,Honor X9b 8/256 Gb,3959000,Elmakon
Smartfonlar,https://elmakon.uz/images/thumbnails/540/540/detailed/18/Без_имени-29.jpg 2x,https://elmakon.uz/telefony-gadzhety-aksessuary/y33s-black-smartfon-vivo/,Vivo Y33s 4/128 Gb,2399000,Elmakon
Smartfonlar,https://elmakon.uz/images/thumbnails/540/540/detailed/42/24_j53n-bq.png 2x,https://elmakon.uz/telefony-gadzhety-aksessuary/honor-x9b-5g-12-256gb-black-smartfon-honor/,Honor X9b 12/256 Gb,4299000,Elmakon
Smartfonlar,https://elmakon.uz/images/thumbnails/540/540/detailed/42/30_1gch-z7.png 2x,https://elmakon.uz/telefony-gadzhety-aksessuary/honor-x9b-5g-8-256gb-emerlad-green-smartfon-honor/,Honor X9b 8/256 Gb,3959000,Elmakon
